1, 0
2, 1
3, 1
4, 0
5, 0
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 0
13, 1
14, 1
15, 0
16, 0
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 0
24, 0
25, 0
26, 1
27, 0
28, 1
29, 1
30, 0
31, 0
32, 1
33, 1
34, 0
35, 1
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 1
51, 0
52, 0
53, 0
54, 1
55, 1
56, 0
57, 1
58, 1
59, 0
60, 0
61, 0
62, 0
63, 0
64, 1
65, 0
66, 1
67, 1
68, 0
69, 0
70, 0
71, 1
72, 0
73, 0
74, 0
75, 1
76, 1
77, 0
78, 0
79, 1
80, 1
81, 0
82, 0
83, 0
84, 1
85, 0
86, 0
87, 1
88, 0
89, 0
90, 1
91, 1
92, 0
93, 1
94, 0
95, 1
96, 0
97, 0
98, 0
99, 1
100, 0
101, 0
102, 0
103, 0
104, 1
105, 1
106, 0
107, 1
108, 1
109, 1
110, 0
111, 0
112, 0
113, 0
114, 0
115, 0
116, 0
117, 1
118, 0
119, 0
120, 0
121, 0
122, 1
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 1
130, 1
131, 0
132, 1
133, 1
134, 0
135, 0
136, 0
137, 0
138, 0
139, 1
140, 1
141, 1
142, 0
143, 0
144, 0
145, 1
146, 0
147, 0
148, 1
149, 0
150, 0
151, 0
153, 1
154, 1
155, 0
156, 0
158, 0
159, 0
160, 0
161, 0
162, 0
163, 1
164, 0
165, 1
166, 0
167, 0
168, 0
169, 0
170, 0
171, 1
172, 0
173, 0
174, 1
175, 1
176, 1
177, 0
178, 0
179, 1
180, 1
181, 0
182, 0
183, 0
184, 1
185, 0
186, 0
187, 0
188, 0
189, 1
190, 0
191, 1
192, 0
193, 0
194, 1
195, 1
196, 0
197, 0
198, 0
199, 0
200, 0
201, 1
202, 0
203, 1
204, 0
205, 0
206, 0
207, 0
208, 0
209, 0
210, 1
211, 0
212, 0
213, 0
214, 0
215, 0
216, 0
217, 0
218, 1
219, 0
220, 1
221, 1
222, 1
223, 1
224, 1
225, 0
226, 1
228, 0
229, 0
230, 0
231, 0
232, 0
233, 1
234, 1
235, 0
236, 1
237, 1
238, 1
239, 1
240, 0
241, 1
242, 0
243, 0
244, 0
245, 1
246, 0
247, 0
248, 0
249, 0
250, 1
251, 1
252, 0
253, 0
